pais;tipo_dato;gastos_duracion;periodo;total
Total;Acumulado en lo que va de año;Gasto medio por persona;2024-02-01;1358
Total;Acumulado en lo que va de año;Gasto medio por persona;2024-01-01;1371
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-12-01;1277
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-11-01;1272
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-10-01;1270
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-09-01;1272
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-08-01;1272
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-07-01;1258
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-06-01;1227
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-05-01;1213
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-04-01;1228
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-03-01;1259
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-02-01;1251
Total;Acumulado en lo que va de año;Gasto medio por persona;2023-01-01;1262
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-12-01;1216
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-11-01;1213
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-10-01;1211
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-09-01;1218
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-08-01;1224
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-07-01;1212
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-06-01;1183
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-05-01;1177
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-04-01;1188
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-03-01;1223
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-02-01;1200
Total;Acumulado en lo que va de año;Gasto medio por persona;2022-01-01;1215
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-12-01;1119
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-11-01;1111
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-10-01;1110
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-09-01;1115
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-08-01;1128
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-07-01;1124
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-06-01;1072
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-05-01;1057
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-04-01;1081
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-03-01;1091
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-02-01;1081
Total;Acumulado en lo que va de año;Gasto medio por persona;2021-01-01;1044
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-12-01;1045
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-11-01;1044
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-10-01;1044
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-09-01;1056
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-08-01;1071
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-07-01;1083
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-06-01;1102
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-05-01;1111
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-04-01;1111
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-03-01;1111
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-02-01;1116
Total;Acumulado en lo que va de año;Gasto medio por persona;2020-01-01;1153
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-12-01;1101
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-11-01;1097
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-10-01;1098
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-09-01;1098
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-08-01;1099
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-07-01;1087
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-06-01;1056
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-05-01;1044
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-04-01;1049
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-03-01;1081
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-02-01;1089
Total;Acumulado en lo que va de año;Gasto medio por persona;2019-01-01;1115
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-12-01;1084
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-11-01;1080
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-10-01;1080
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-09-01;1082
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-08-01;1084
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-07-01;1075
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-06-01;1048
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-05-01;1034
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-04-01;1044
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-03-01;1078
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-02-01;1088
Total;Acumulado en lo que va de año;Gasto medio por persona;2018-01-01;1102
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-12-01;1063
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-11-01;1059
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-10-01;1059
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-09-01;1058
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-08-01;1056
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-07-01;1048
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-06-01;1025
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-05-01;1013
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-04-01;1022
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-03-01;1057
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-02-01;1068
Total;Acumulado en lo que va de año;Gasto medio por persona;2017-01-01;1091
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-12-01;1028
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-11-01;1022
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-10-01;1022
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-09-01;1021
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-08-01;1015
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-07-01;1013
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-06-01;995
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-05-01;983
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-04-01;988
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-03-01;1020
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-02-01;1033
Total;Acumulado en lo que va de año;Gasto medio por persona;2016-01-01;1060
Total;Acumulado en lo que va de año;Gasto medio por persona;2015-12-01;""
Total;Acumulado en lo que va de año;Gasto medio por persona;2015-11-01;""
Total;Acumulado en lo que va de año;Gasto medio por persona;2015-10-01;1016
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2025-02-01;173
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2025-01-01;165
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-12-01;186
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-11-01;188
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-10-01;189
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-09-01;189
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-08-01;188
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-07-01;187
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-06-01;185
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-05-01;182
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-04-01;175
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-03-01;171
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-02-01;165
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2024-01-01;158
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-12-01;177
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-11-01;179
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-10-01;180
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-09-01;179
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-08-01;178
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-07-01;179
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-06-01;175
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-05-01;171
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-04-01;165
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-03-01;161
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-02-01;156
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2023-01-01;149
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-12-01;162
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-11-01;163
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-10-01;163
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-09-01;162
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-08-01;161
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-07-01;161
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-06-01;158
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-05-01;154
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-04-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-03-01;141
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-02-01;131
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2022-01-01;124
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-12-01;137
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-11-01;139
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-10-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-09-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-08-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-07-01;140
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-06-01;136
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-05-01;129
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-04-01;122
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-03-01;118
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-02-01;111
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2021-01-01;106
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-12-01;134
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-11-01;135
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-10-01;135
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-09-01;137
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-08-01;139
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-07-01;144
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-06-01;149
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-05-01;149
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-04-01;149
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-03-01;149
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-02-01;148
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2020-01-01;145
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-12-01;155
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-11-01;155
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-10-01;155
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-09-01;154
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-08-01;154
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-07-01;156
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-06-01;155
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-05-01;152
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-04-01;148
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-03-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-02-01;143
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2019-01-01;139
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-12-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-11-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-10-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-09-01;145
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-08-01;145
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-07-01;146
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-06-01;144
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-05-01;142
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-04-01;140
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-03-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-02-01;136
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2018-01-01;132
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-12-01;137
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-11-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-10-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-09-01;137
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-08-01;137
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-07-01;139
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-06-01;139
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-05-01;138
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-04-01;136
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-03-01;134
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-02-01;130
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2017-01-01;129
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-12-01;130
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-11-01;131
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-10-01;130
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-09-01;130
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-08-01;129
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-07-01;132
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-06-01;133
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-05-01;132
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-04-01;128
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-03-01;127
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-02-01;125
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2016-01-01;122
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2015-12-01;""
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2015-11-01;""
Total;Acumulado en lo que va de año;Gasto medio diario por persona;2015-10-01;126
Total;Acumulado en lo que va de año;Duración media de los viajes;2025-02-01;7.93
Total;Acumulado en lo que va de año;Duración media de los viajes;2025-01-01;8.55
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-12-01;7.23
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-11-01;7.12
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-10-01;7.09
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-09-01;7.1
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-08-01;7.16
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-07-01;7.1
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-06-01;7.05
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-05-01;7.13
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-04-01;7.51
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-03-01;7.95
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-02-01;8.21
Total;Acumulado en lo que va de año;Duración media de los viajes;2024-01-01;8.68
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-12-01;7.22
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-11-01;7.1
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-10-01;7.07
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-09-01;7.11
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-08-01;7.16
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-07-01;7.04
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-06-01;7
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-05-01;7.1
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-04-01;7.43
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-03-01;7.8
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-02-01;8.02
Total;Acumulado en lo que va de año;Duración media de los viajes;2023-01-01;8.48
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-12-01;7.5
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-11-01;7.43
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-10-01;7.43
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-09-01;7.49
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-08-01;7.59
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-07-01;7.53
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-06-01;7.47
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-05-01;7.65
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-04-01;8.15
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-03-01;8.68
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-02-01;9.17
Total;Acumulado en lo que va de año;Duración media de los viajes;2022-01-01;9.8
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-12-01;8.15
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-11-01;8
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-10-01;8.02
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-09-01;8.08
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-08-01;8.17
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-07-01;8.03
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-06-01;7.88
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-05-01;8.19
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-04-01;8.86
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-03-01;9.24
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-02-01;9.76
Total;Acumulado en lo que va de año;Duración media de los viajes;2021-01-01;9.86
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-12-01;7.82
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-11-01;7.75
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-10-01;7.73
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-09-01;7.71
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-08-01;7.7
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-07-01;7.53
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-06-01;7.42
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-05-01;7.45
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-04-01;7.45
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-03-01;7.45
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-02-01;7.53
Total;Acumulado en lo que va de año;Duración media de los viajes;2020-01-01;7.97
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-12-01;7.11
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-11-01;7.08
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-10-01;7.1
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-09-01;7.13
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-08-01;7.13
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-07-01;6.97
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-06-01;6.82
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-05-01;6.85
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-04-01;7.07
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-03-01;7.4
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-02-01;7.61
Total;Acumulado en lo que va de año;Duración media de los viajes;2019-01-01;8.05
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-12-01;7.45
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-11-01;7.39
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-10-01;7.42
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-09-01;7.46
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-08-01;7.48
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-07-01;7.35
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-06-01;7.26
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-05-01;7.26
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-04-01;7.46
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-03-01;7.8
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-02-01;7.99
Total;Acumulado en lo que va de año;Duración media de los viajes;2018-01-01;8.37
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-12-01;7.74
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-11-01;7.68
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-10-01;7.68
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-09-01;7.7
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-08-01;7.74
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-07-01;7.53
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-06-01;7.37
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-05-01;7.34
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-04-01;7.54
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-03-01;7.89
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-02-01;8.19
Total;Acumulado en lo que va de año;Duración media de los viajes;2017-01-01;8.45
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-12-01;7.88
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-11-01;7.81
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-10-01;7.83
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-09-01;7.86
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-08-01;7.87
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-07-01;7.65
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-06-01;7.49
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-05-01;7.46
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-04-01;7.7
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-03-01;8
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-02-01;8.25
Total;Acumulado en lo que va de año;Duración media de los viajes;2016-01-01;8.7
Total;Acumulado en lo que va de año;Duración media de los viajes;2015-12-01;""
Total;Acumulado en lo que va de año;Duración media de los viajes;2015-11-01;""
Total;Acumulado en lo que va de año;Duración media de los viajes;2015-10-01;8.06
Total;Tasa de variación acumulada;Gasto total;2025-02-01;8.27
Total;Tasa de variación acumulada;Gasto total;2025-01-01;8.95
Total;Tasa de variación acumulada;Gasto total;2024-12-01;15.95
Total;Tasa de variación acumulada;Gasto total;2024-11-01;16.57
Total;Tasa de variación acumulada;Gasto total;2024-10-01;16.61
Total;Tasa de variación acumulada;Gasto total;2024-09-01;16.75
Total;Tasa de variación acumulada;Gasto total;2024-08-01;17.37
Total;Tasa de variación acumulada;Gasto total;2024-07-01;18.36
Total;Tasa de variación acumulada;Gasto total;2024-06-01;20.35
Total;Tasa de variación acumulada;Gasto total;2024-05-01;21.51
Total;Tasa de variación acumulada;Gasto total;2024-04-01;22.21
Total;Tasa de variación acumulada;Gasto total;2024-03-01;27.1
Total;Tasa de variación acumulada;Gasto total;2024-02-01;25.63
Total;Tasa de variación acumulada;Gasto total;2024-01-01;25.48
Total;Tasa de variación acumulada;Gasto total;2023-12-01;24.85
Total;Tasa de variación acumulada;Gasto total;2023-11-01;24.18
Total;Tasa de variación acumulada;Gasto total;2023-10-01;24.23
Total;Tasa de variación acumulada;Gasto total;2023-09-01;24.26
Total;Tasa de variación acumulada;Gasto total;2023-08-01;24.55
Total;Tasa de variación acumulada;Gasto total;2023-07-01;25.5
Total;Tasa de variación acumulada;Gasto total;2023-06-01;28.44
Total;Tasa de variación acumulada;Gasto total;2023-05-01;32.11
Total;Tasa de variación acumulada;Gasto total;2023-04-01;36.71
Total;Tasa de variación acumulada;Gasto total;2023-03-01;45.05
Total;Tasa de variación acumulada;Gasto total;2023-02-01;55.27
Total;Tasa de variación acumulada;Gasto total;2023-01-01;71.62
Total;Tasa de variación acumulada;Gasto total;2022-12-01;149.66
Total;Tasa de variación acumulada;Gasto total;2022-11-01;161.1
Total;Tasa de variación acumulada;Gasto total;2022-10-01;177.18
Total;Tasa de variación acumulada;Gasto total;2022-09-01;210.04
Total;Tasa de variación acumulada;Gasto total;2022-08-01;248.47
Total;Tasa de variación acumulada;Gasto total;2022-07-01;332.74
Total;Tasa de variación acumulada;Gasto total;2022-06-01;517.35
Total;Tasa de variación acumulada;Gasto total;2022-05-01;692.16
Total;Tasa de variación acumulada;Gasto total;2022-04-01;843.14
Total;Tasa de variación acumulada;Gasto total;2022-03-01;797.41
Total;Tasa de variación acumulada;Gasto total;2022-02-01;772.25
Total;Tasa de variación acumulada;Gasto total;2022-01-01;564.53
Total;Tasa de variación acumulada;Gasto total;2021-12-01;76.4
Total;Tasa de variación acumulada;Gasto total;2021-11-01;64.31
Total;Tasa de variación acumulada;Gasto total;2021-10-01;48.35
Total;Tasa de variación acumulada;Gasto total;2021-09-01;23.98
Total;Tasa de variación acumulada;Gasto total;2021-08-01;1.01
Total;Tasa de variación acumulada;Gasto total;2021-07-01;-22.91
Total;Tasa de variación acumulada;Gasto total;2021-06-01;-51.02
Total;Tasa de variación acumulada;Gasto total;2021-05-01;-71.11
Total;Tasa de variación acumulada;Gasto total;2021-04-01;-83.01
Total;Tasa de variación acumulada;Gasto total;2021-03-01;-88.7
Total;Tasa de variación acumulada;Gasto total;2021-02-01;-91.83
Total;Tasa de variación acumulada;Gasto total;2021-01-01;-90.4
Total;Tasa de variación acumulada;Gasto total;2020-12-01;-78.47
Total;Tasa de variación acumulada;Gasto total;2020-11-01;-78.03
Total;Tasa de variación acumulada;Gasto total;2020-10-01;-77.26
Total;Tasa de variación acumulada;Gasto total;2020-09-01;-75.86
Total;Tasa de variación acumulada;Gasto total;2020-08-01;-73.74
Total;Tasa de variación acumulada;Gasto total;2020-07-01;-72.56
Total;Tasa de variación acumulada;Gasto total;2020-06-01;-70.53
Total;Tasa de variación acumulada;Gasto total;2020-05-01;-61.62
Total;Tasa de variación acumulada;Gasto total;2020-04-01;-47.7
Total;Tasa de variación acumulada;Gasto total;2020-03-01;-23.69
Total;Tasa de variación acumulada;Gasto total;2020-02-01;2.35
